Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	30	54.54545454545454	5.124648987027806E-10	TOP2A, CLIC4, SLC35F2, NOLC1, GLRX, EBP, NNT, STMN1, ANXA7, PCBD1, HADH, LBR, LIG1, TXNRD1, USP22, TPM1, RPA1, PYCR1, DDX10, PAICS, HIST2H2BE, CCNA2, GNPDA1, MTHFD2, BIRC5, PSMG1, KIF2C, KIF20A, ARHGEF2, PAFAH1B3	55	3424	20581	3.2786214953271027	8.609409085647002E-8	8.609410298206715E-8	8.45567082859588E-8
UP_KEYWORDS	Phosphoprotein	36	65.45454545454545	2.0388780008061567E-4	TOP2A, CLIC4, SLC35F2, INPP1, MRPL19, FHL2, NOLC1, PSIP1, RELB, PGRMC1, OXCT1, STMN1, STX4, CPNE3, LBR, MPZL1, IER3, LIG1, TXNRD1, TPM1, RPA1, PYCR1, DDX10, PAICS, HIST2H2BE, CCNA2, TXLNA, GNPDA1, TCEA2, BIRC5, PSMG1, KIF2C, NCAPD2, KIF20A, ARHGEF2, PAFAH1B3	55	8246	20581	1.6336648071792386	0.03367652713909708	0.017126575206771716	0.016820743506650793
UP_KEYWORDS	Cell division	6	10.909090909090908	0.003440617247463365	CCNA2, LIG1, BIRC5, KIF2C, NCAPD2, ARHGEF2	55	388	20581	5.78659793814433	0.4395528677953666	0.19267456585794843	0.18923394861048506
UP_KEYWORDS	Mitosis	5	9.090909090909092	0.004928799319810609	CCNA2, BIRC5, KIF2C, NCAPD2, ARHGEF2	55	262	20581	7.141221374045802	0.5639880523221983	0.19369482099750268	0.19023598490826157
UP_KEYWORDS	Microtubule	5	9.090909090909092	0.006220048085963932	STMN1, BIRC5, KIF2C, KIF20A, ARHGEF2	55	280	20581	6.682142857142857	0.649442836226727	0.19369482099750268	0.19023598490826157
UP_KEYWORDS	Cell cycle	7	12.727272727272727	0.006917672178482239	CCNA2, LIG1, USP22, BIRC5, KIF2C, NCAPD2, ARHGEF2	55	650	20581	4.029846153846154	0.6884536989331027	0.19369482099750268	0.19023598490826157
UP_KEYWORDS	Transit peptide	6	10.909090909090908	0.013033979603529661	ALAS1, NNT, OXCT1, MTHFD2, MRPL19, HADH	55	536	20581	4.188805970149254	0.8896506576574663	0.3128155104847119	0.30722951922605635
UP_KEYWORDS	Cytoplasm	21	38.18181818181819	0.01679969816231558	TOP2A, CLIC4, ZNF274, TXNRD1, TPM1, FHL2, NOLC1, GLRX, RELB, CCNA2, GNPDA1, STMN1, BIRC5, PCBD1, PSMG1, KIF2C, NCAPD2, CPNE3, KIF20A, ARHGEF2, PAFAH1B3	55	4816	20581	1.631686046511628	0.9419427396195738	0.33607778138786243	0.3300763924345077
UP_KEYWORDS	Oxidoreductase	6	10.909090909090908	0.018004166860064057	NNT, MTHFD2, P4HA2, TXNRD1, PYCR1, HADH	55	582	20581	3.857731958762886	0.9527479826636567	0.33607778138786243	0.3300763924345077
UP_KEYWORDS	Mitochondrion	8	14.545454545454545	0.026249398106128065	CLIC4, ALAS1, NNT, OXCT1, MTHFD2, MRPL19, PYCR1, HADH	55	1119	20581	2.6752457551385165	0.9885390617335139	0.39814595131174274	0.3910362021811759
